"row ID","Year","Tournament","Match","WriteStatus","WriteError"
"Row0",2015,"All England Open","japan-indonesia",1,
"Row1",2015,"All England Open","japan-indonesia",1,
"Row2",2015,"All England Open","germany-indonesia",1,
"Row3",2015,"All England Open","germany-indonesia",1,
"Row4",2015,"All England Open","china-england",1,
"Row5",2015,"All England Open","china-england",1,
"Row6",2015,"All England Open","china-korea",1,
"Row7",2015,"All England Open","china-korea",1,
"Row8",2015,"All England Open","china-korea",1,
"Row9",2015,"All England Open","chinesetaipei-thailand",1,
"Row10",2015,"All England Open","chinesetaipei-thailand",1,
"Row11",2015,"All England Open","chinesetaipei-thailand",1,
"Row12",2015,"All England Open","korea-germany",1,
"Row13",2015,"All England Open","korea-germany",1,
"Row14",2015,"All England Open","india-malaysia",1,
"Row15",2015,"All England Open","india-malaysia",1,
"Row16",2015,"All England Open","india-malaysia",1,
"Row17",2015,"All England Open","indonesia-england",1,
"Row18",2015,"All England Open","indonesia-england",1,
"Row19",2015,"All England Open","japan-poland",1,
"Row20",2015,"All England Open","japan-poland",1,
"Row21",2015,"All England Open","hongkong-thailand",1,
"Row22",2015,"All England Open","hongkong-thailand",1,
"Row23",2015,"All England Open","hongkong-thailand",1,
"Row24",2015,"All England Open","indonesia-china",1,
"Row25",2015,"All England Open","indonesia-china",1,
"Row26",2015,"All England Open","chinesetaipei-poland",1,
"Row27",2015,"All England Open","chinesetaipei-poland",1,
"Row28",2015,"All England Open","india-china",1,
"Row29",2015,"All England Open","india-china",1,
"Row30",2015,"All England Open","india-china",1,
"Row31",2015,"All England Open","hongkong-france",1,
"Row32",2015,"All England Open","hongkong-france",1,
"Row33",2015,"All England Open","china-denmark",1,
"Row34",2015,"All England Open","china-denmark",1,
"Row35",2015,"All England Open","china-thailand",1,
"Row36",2015,"All England Open","china-thailand",1,
"Row37",2015,"All England Open","indonesia-russia",1,
"Row38",2015,"All England Open","indonesia-russia",1,
"Row39",2015,"All England Open","indonesia-russia",1,
"Row40",2015,"All England Open","malaysia-germany",1,
"Row41",2015,"All England Open","malaysia-germany",1,
"Row42",2015,"All England Open","denmark-canada",1,
"Row43",2015,"All England Open","denmark-canada",1,
"Row44",2015,"All England Open","japan-bulgaria",1,
"Row45",2015,"All England Open","japan-bulgaria",1,
"Row46",2015,"All England Open","china-korea",1,
"Row47",2015,"All England Open","china-korea",1,
"Row48",2015,"All England Open","china-korea",1,
"Row49",2015,"All England Open","england-indonesia",1,
"Row50",2015,"All England Open","england-indonesia",1,
"Row51",2015,"All England Open","denmark-netherlands",1,
"Row52",2015,"All England Open","china-china",1,
"Row53",2015,"All England Open","china-china",1,
"Row54",2015,"All England Open","china-china",1,
"Row55",2015,"All England Open","germany-korea",1,
"Row56",2015,"All England Open","germany-korea",1,
"Row57",2015,"All England Open","germany-korea",1,
"Row58",2015,"All England Open","indonesia-ireland",1,
"Row59",2015,"All England Open","indonesia-ireland",1,
"Row60",2015,"All England Open","china-thailand",1,
"Row61",2015,"All England Open","china-thailand",1,
"Row62",2015,"All England Open","china-thailand",1,
"Row63",2015,"All England Open","japan-indonesia",1,
"Row64",2015,"All England Open","japan-indonesia",1,
"Row65",2015,"All England Open","chinesetaipei-canada",1,
"Row66",2015,"All England Open","chinesetaipei-canada",1,
"Row67",2015,"All England Open","chinesetaipei-canada",1,
"Row68",2015,"All England Open","thailand-japan",1,
"Row69",2015,"All England Open","thailand-japan",1,
"Row70",2015,"All England Open","chinesetaipei-india",1,
"Row71",2015,"All England Open","chinesetaipei-india",1,
"Row72",2015,"All England Open","thailand-indonesia",1,
"Row73",2015,"All England Open","thailand-indonesia",1,
"Row74",2015,"All England Open","korea-indonesia",1,
"Row75",2015,"All England Open","korea-indonesia",1,
"Row76",2015,"All England Open","korea-indonesia",1,
"Row77",2015,"All England Open","netherlands-usa",1,
"Row78",2015,"All England Open","netherlands-usa",1,
"Row79",2015,"All England Open","china-germany",1,
"Row80",2015,"All England Open","china-germany",1,
"Row81",2015,"All England Open","malaysia-korea",1,
"Row82",2015,"All England Open","malaysia-korea",1,
"Row83",2015,"All England Open","malaysia-korea",1,
"Row84",2015,"All England Open","china-england",1,
"Row85",2015,"All England Open","china-england",1,
"Row86",2015,"All England Open","japan-china",1,
"Row87",2015,"All England Open","japan-china",1,
"Row88",2015,"All England Open","japan-malaysia",1,
"Row89",2015,"All England Open","japan-malaysia",1,
"Row90",2015,"All England Open","japan-malaysia",1,
"Row91",2015,"All England Open","england-korea",1,
"Row92",2015,"All England Open","england-korea",1,
"Row93",2015,"All England Open","england-korea",1,
"Row94",2015,"All England Open","india-indonesia",1,
"Row95",2015,"All England Open","india-indonesia",1,
"Row96",2015,"All England Open","indonesia-indonesia",1,
"Row97",2015,"All England Open","indonesia-indonesia",1,
"Row98",2015,"All England Open","korea-hongkong",1,
"Row99",2015,"All England Open","korea-hongkong",1,
"Row100",2015,"All England Open","japan-india",1,
"Row101",2015,"All England Open","japan-india",1,
"Row102",2015,"All England Open","japan-india",1,
"Row103",2015,"All England Open","germany-china",1,
"Row104",2015,"All England Open","germany-china",1,
"Row105",2015,"All England Open","china-japan",1,
"Row106",2015,"All England Open","china-japan",1,
"Row107",2015,"All England Open","china-japan",1,
"Row108",2015,"All England Open","korea-england",1,
"Row109",2015,"All England Open","korea-england",1,
"Row110",2015,"All England Open","indonesia-germany",1,
"Row111",2015,"All England Open","indonesia-germany",1,
"Row112",2015,"All England Open","korea-denmark",1,
"Row113",2015,"All England Open","korea-denmark",1,
"Row114",2015,"All England Open","korea-denmark",1,
"Row115",2015,"All England Open","denmark-russia",1,
"Row116",2015,"All England Open","denmark-russia",1,
"Row117",2015,"All England Open","indonesia-china",1,
"Row118",2015,"All England Open","indonesia-china",1,
"Row119",2015,"All England Open","indonesia-china",1,
"Row120",2015,"All England Open","indonesia-germany",1,
"Row121",2015,"All England Open","indonesia-germany",1,
